stu_id,stu_name,email,k1_energy,k2_energy,k3_tick1,k3_tick2,my_pref,concerns
20004488,"SAFFRON, Corgipoo","CorgipooSAF@connect.ust.hk",26,80,0,0,"",""
20023331,"HYSSOP, Chamois","ChamoisHYS@connect.ust.hk",27,85,0,0,"",""
20043679,"LEEKS, Beetle","BeetleLEE@connect.ust.hk",71,40,0,0,"",""
20067232,"CHRYSANTHEMUM, Abelisaurus","AbelisaurusCHR@connect.ust.hk",57,60,0,0,"",""
20076931,"CELERIAC, Aniu","AniuCEL@connect.ust.hk",54,80,0,0,"",""
20089887,"ANGELICA, Daisy","DaisyANG@connect.ust.hk",44,65,1,1,"",""
20097861,"CHICORY, Iguanodon","IguanodonCHI@connect.ust.hk",58,45,0,0,"",""
20109368,"SPEARMINT, Kenerdy","KenerdySPE@connect.ust.hk",44,70,0,0,"",""
20121416,"LAVENDER, Venus","VenusLAV@connect.ust.hk",55,65,0,0,"",""
20133348,"VANILLA, Aphids","AphidsVAN@connect.ust.hk",47,65,1,0,"",""
20136565,"CUMINPOWD, Addax","AddaxCUM@connect.ust.hk",47,60,1,1,"",""
20152854,"PARSLEY, Athena","AthenaPAR@connect.ust.hk",59,60,0,0,"",""
20153166,"ORCHID, Uranus","UranusORC@connect.ust.hk",89,45,0,0,"",""
20155801,"ROSEMARY, Hephaestus","HephaestusROS@connect.ust.hk",35,70,0,0,"",""
20167346,"OREGANO, George","GeorgeORE@connect.ust.hk",83,60,0,0,"",""
20169289,"MARJORAM, Coral","CoralMAR@connect.ust.hk",62,85,0,0,"",""
20177418,"HOREBOUND, Birman","BirmanHOR@connect.ust.hk",80,40,0,0,"",""
20182694,"ANAHEIM, Alligator","AlligatorANA@connect.ust.hk",31,50,1,0,"",""
20199698,"ORCHID, Neptune","NeptuneORC@connect.ust.hk",53,60,0,0,"",""
20217287,"SPEARMINT, Iris","IrisSPE@connect.ust.hk",35,75,0,0,"",""
20236589,"COSTMARY, Philip","PhilipCOS@connect.ust.hk",63,60,0,0,"",""
20255132,"OREGANO, Chartreux","ChartreuxORE@connect.ust.hk",35,60,0,0,"",""
20268506,"CUMINPOWD, Pollock","PollockCUM@connect.ust.hk",59,30,0,0,"",""
20273544,"PATTIPAN, Veronica","VeronicaPAT@connect.ust.hk",45,75,1,0,"",""
20283263,"ANGELICA, Cat","CatANG@connect.ust.hk",60,50,0,0,"",""
20298901,"TARRAGON, Crocodia","CrocodiaTAR@connect.ust.hk",33,80,0,0,"",""
20310441,"CITRUS, Eolambia","EolambiaCIT@connect.ust.hk",45,55,1,0,"",""
20310748,"VANILLA, Fringle","FringleVAN@connect.ust.hk",61,30,0,0,"",""
